"Team","Year","Position_Group","Position_Group_Spending","Wins"
"Cincinnati Bengals",2021,"ST",3170928,10
"Cincinnati Bengals",2021,"TE",8318580,10
"Cincinnati Bengals",2021,"WR",19812585,10
"Cincinnati Bengals",2022,"CB",12783888,12
"Cincinnati Bengals",2022,"DL",48565180,12
"Cincinnati Bengals",2022,"EDGE",2448176,12
"Cincinnati Bengals",2022,"MLB",6211785,12
"Cincinnati Bengals",2022,"OL",26197884,12
"Cincinnati Bengals",2022,"QB",11070037,12
"Cincinnati Bengals",2022,"RB",15103811,12
"Cincinnati Bengals",2022,"S",23640510,12
"Cincinnati Bengals",2022,"ST",1772596,12
"Cincinnati Bengals",2022,"TE",5308466,12
"Cincinnati Bengals",2022,"WR",21994419,12
"Cincinnati Bengals",2023,"CB",20482429,9
"Cincinnati Bengals",2023,"DL",43174542,9
"Cincinnati Bengals",2023,"EDGE",1214378,9
"Cincinnati Bengals",2023,"MLB",13022124,9
"Cincinnati Bengals",2023,"OL",44588133,9
"Cincinnati Bengals",2023,"QB",1063332,9
"Cincinnati Bengals",2023,"RB",11680595,9
"Cincinnati Bengals",2023,"S",3368185,9
"Cincinnati Bengals",2023,"ST",2679262,9
"Cincinnati Bengals",2023,"TE",4404720,9
"Cincinnati Bengals",2023,"WR",25200646,9
"Cincinnati Bengals",2024,"CB",11791210,4
"Cincinnati Bengals",2024,"DL",61833737,4
"Cincinnati Bengals",2024,"EDGE",12615217,4
"Cincinnati Bengals",2024,"MLB",8268333,4
"Cincinnati Bengals",2024,"OL",39190821,4
"Cincinnati Bengals",2024,"QB",30629000,4
"Cincinnati Bengals",2024,"RB",2499039,4
"Cincinnati Bengals",2024,"S",10331198,4
"Cincinnati Bengals",2024,"ST",4170928,4
"Cincinnati Bengals",2024,"TE",9746600,4
"Cincinnati Bengals",2024,"WR",35073471,4
"Cleveland Browns",2021,"CB",7878116,8
"Cleveland Browns",2021,"DL",18945687,8
"Cleveland Browns",2021,"EDGE",4672504,8
"Cleveland Browns",2021,"MLB",1821666,8
"Cleveland Browns",2021,"OL",29574952,8
"Cleveland Browns",2021,"QB",7384444,8
"Cleveland Browns",2021,"RB",11987691,8
"Cleveland Browns",2021,"S",8318752,8
"Cleveland Browns",2021,"ST",2231110,8
"Cleveland Browns",2021,"TE",15235257,8
"Cleveland Browns",2021,"WR",18423720,8
"Cleveland Browns",2022,"CB",12311416,7
"Cleveland Browns",2022,"DL",26480027,7
"Cleveland Browns",2022,"EDGE",907440,7
"Cleveland Browns",2022,"MLB",1898363,7
"Cleveland Browns",2022,"OL",33132858,7
"Cleveland Browns",2022,"QB",14942928,7
"Cleveland Browns",2022,"RB",13388711,7
"Cleveland Browns",2022,"S",11699010,7
"Cleveland Browns",2022,"ST",3730965,7
"Cleveland Browns",2022,"TE",5111365,7
"Cleveland Browns",2022,"WR",8596429,7
"Cleveland Browns",2023,"CB",19168141,11
"Cleveland Browns",2023,"DL",32200488,11
